,User-ID,Location,Age
2275,2276,"niskayuna, new york, usa",46.0
3362,3363,"knoxville, tennessee, usa",29.0
3756,3757,"madrid, madrid, spain",
6250,6251,"wahiawa, hawaii, usa",32.0
6542,6543,"strafford, missouri, usa",34.0
6574,6575,"seattle, washington, usa",
7157,7158,"omaha, nebraska, usa",30.0
7345,7346,"sunnyvale, california, usa",49.0
8680,8681,"orlando, florida, usa",34.0
8889,8890,"paris, ile-de-france, france",47.0
11600,11601,"brooklyn, new york, usa",
11675,11676,"n/a, n/a, n/a",
11992,11993,"lakewood, colorado, usa",37.0
12537,12538,"byron, minnesota, usa",18.0
13272,13273,"harrisburg, pennsylvania, usa",201.0
13551,13552,"cordova, tennessee, usa",32.0
14421,14422,"apple valley, minnesota, usa",
14520,14521,"providence, rhode island, usa",
15407,15408,"cary, north carolina, usa",34.0
16633,16634,"little rock, arkansas, usa",42.0
16794,16795,"mechanicsville, maryland, usa",47.0
16915,16916,"hackettstown, new jersey, usa",53.0
16965,16966,"waterloo, ontario, canada",41.0
17949,17950,"puchong, selangor, malaysia",32.0
20114,20115,"lansdale, pennsylvania, usa",32.0
21013,21014,"fresno, california, usa",
23767,23768,"st. louis, missouri, usa",45.0
23871,23872,"tulsa, oklahoma, usa",22.0
23901,23902,"london, england, united kingdom",
24920,24921,"higley, arizona, usa",29.0
25408,25409,"la mesa, california, usa",31.0
25980,25981,"nj, new jersey, usa",
26515,26516,"victor, montana, usa",67.0
26534,26535,"hickory, mississippi, usa",41.0
26543,26544,"woodbridge, virginia, usa",37.0
27616,27617,"beaverton, ontario, canada",32.0
28203,28204,"south ohio, nova scotia, canada",61.0
28522,28523,"springfield, missouri, usa",24.0
28590,28591,"michie, tennessee, usa",33.0
29258,29259,"mt. airy, , usa",39.0
29854,29855,"morris, connecticut, usa",53.0
30275,30276,"wildwood, new jersey, usa",49.0
30510,30511,"culemborg, gelderland, netherlands",
30532,30533,"charleston, south carolina, usa",
30710,30711,"sydney, new south wales, australia",32.0
31314,31315,"henryville, indiana, usa",34.0
31555,31556,"chula vista, california, usa",51.0
31825,31826,"jasper, missouri, usa",54.0
32194,32195,"fall river, massachusetts, usa",
32439,32440,"dunedin, otago, new zealand",
32720,32721,"toulouse, haute-garonne, france",36.0
32772,32773,"olathe, kansas, usa",28.0
33973,33974,"barnhart, missouri, usa",24.0
35049,35050,"west columbia, south carolina, usa",33.0
35856,35857,"mentor, ohio, usa",36.0
35858,35859,"duluth, minnesota, usa",
36605,36606,"san marcos, california, usa",39.0
36608,36609,"zachary, louisiana, usa",32.0
36835,36836,"raleigh, north carolina, usa",56.0
37711,37712,"cincinnati, ohio, usa",23.0
37949,37950,"calgary, alberta, canada",
38022,38023,"hayward, california, usa",30.0
38780,38781,"kingsville, texas, usa",31.0
