,User-ID,ISBN,Book-Rating
1469,277427,0060930535,0
1471,277427,0060934417,0
1474,277427,0061009059,9
1495,277427,0142001740,0
1516,277427,0316096199,0
1518,277427,0316284955,0
1519,277427,0316569321,0
1521,277427,0316666343,0
1522,277427,0316776963,8
1533,277427,0345339681,0
1535,277427,0345361792,0
1580,277427,0385484518,0
1584,277427,0385504209,8
1629,277427,0439064872,0
1647,277427,0440224764,7
1649,277427,0440225701,0
1653,277427,0440241073,0
1672,277427,0446611212,0
1713,277427,0553268880,0
1727,277427,0553572997,0
1748,277427,0671001795,0
1786,277427,0684872153,0
1818,277427,080410753X,0
1916,277427,0971880107,0
1918,277427,1400034779,0
4997,278418,0345313860,0
5018,278418,0345361792,0
5026,278418,0345380371,0
5034,278418,0345391055,0
5841,278418,0375725784,0
5916,278418,0380789035,0
5942,278418,0385265700,0
5964,278418,0385492081,0
5967,278418,0385722206,0
6345,278418,0440206154,0
6353,278418,044021145X,0
6355,278418,0440211727,0
6360,278418,0440214041,0
6368,278418,0440220602,0
6369,278418,0440222656,0
6377,278418,0440225701,0
6378,278418,0440226430,0
6384,278418,0440236673,0
6387,278418,044023722X,0
6484,278418,0446310786,0
6499,278418,0446364193,0
6510,278418,044651652X,0
6536,278418,0446605239,0
6540,278418,0446608955,0
6544,278418,0446672211,0
6749,278418,0515131229,8
6882,278418,0553268880,0
8053,278418,080410526X,0
14920,2276,0345391055,0
14991,2276,0440221471,10
14992,2276,0440236673,10
15054,2276,0449212602,0
15231,2276,0679429220,0
15253,2276,0805063897,10
17884,3363,0060502258,0
17896,3363,0060928336,0
17902,3363,0060976845,0
17903,3363,0060987103,0
17950,3363,0140293248,0
18007,3363,0312278586,0
18017,3363,0316096199,10
18020,3363,0316284955,0
18024,3363,0316569321,0
18025,3363,0316666343,0
18034,3363,0345337662,0
18039,3363,0345380371,0
18047,3363,0345417623,0
18103,3363,0375706771,0
18105,3363,0375726403,0
18151,3363,0385335482,0
18167,3363,0385504209,0
18221,3363,0440206154,0
18224,3363,0440224675,0
18229,3363,0440234743,0
18230,3363,0440236673,0
18254,3363,0446606812,0
18257,3363,0446672211,10
18304,3363,0515131229,0
18409,3363,0671003755,0
18501,3363,0743418174,0
18565,3363,080410526X,0
18574,3363,0805063897,0
18653,3363,0971880107,0
25718,6251,0060392452,10
25723,6251,0060930535,0
25727,6251,0060938455,0
25739,6251,0060976845,0
25741,6251,0060987103,0
25744,6251,0061009059,7
25745,6251,006101351X,0
25790,6251,0140293248,0
25846,6251,0312195516,0
25847,6251,0312278586,0
25849,6251,0312291639,0
25850,6251,0312305060,0
25864,6251,0312983271,0
25867,6251,0316284955,0
25870,6251,0316569321,8
25880,6251,0345337662,0
25884,6251,0345351525,0
25887,6251,0345370775,0
25891,6251,0345387651,0
25898,6251,0345417623,0
25925,6251,0375725784,4
25927,6251,0375727345,6
25947,6251,0380730138,0
25949,6251,0380731851,0
25954,6251,0380789035,7
25978,6251,0385484518,7
